# movieId|title|genre|runningTime|theaterNo|startTime|endTime
20260421_1_01|인터스텔라|SF/드라마|169|1|2026-04-21T09:00|2026-04-21T11:49
20260421_1_02|인터스텔라|SF/드라마|169|1|2026-04-21T12:00|2026-04-21T14:49
20260421_1_03|인터스텔라|SF/드라마|169|1|2026-04-21T15:00|2026-04-21T17:49
20260421_1_04|인터스텔라|SF/드라마|169|1|2026-04-21T18:30|2026-04-21T21:19
20260421_1_05|인터스텔라|SF/드라마|169|1|2026-04-21T21:30|2026-04-22T00:19
20260421_2_01|어벤져스: 엔드게임|액션/SF|181|2|2026-04-21T09:30|2026-04-21T12:31
20260421_2_02|어벤져스: 엔드게임|액션/SF|181|2|2026-04-21T13:00|2026-04-21T16:01
20260421_2_03|어벤져스: 엔드게임|액션/SF|181|2|2026-04-21T16:30|2026-04-21T19:31
20260421_2_04|어벤져스: 엔드게임|액션/SF|181|2|2026-04-21T20:00|2026-04-21T23:01
20260421_3_01|파묘|공포/미스터리|134|3|2026-04-21T10:00|2026-04-21T12:14
20260421_3_02|범죄도시4|액션/범죄|109|3|2026-04-21T12:30|2026-04-21T14:19
20260421_3_03|파묘|공포/미스터리|134|3|2026-04-21T15:00|2026-04-21T17:14
20260421_3_04|범죄도시4|액션/범죄|109|3|2026-04-21T17:30|2026-04-21T19:19
20260421_3_05|파묘|공포/미스터리|134|3|2026-04-21T20:00|2026-04-21T22:14
20260421_4_01|듄: 파트2|SF/모험|166|4|2026-04-21T11:00|2026-04-21T13:46
20260421_4_02|듄: 파트2|SF/모험|166|4|2026-04-21T14:30|2026-04-21T17:16
20260421_4_03|서울의 봄|드라마/역사|141|4|2026-04-21T18:00|2026-04-21T20:21
20260421_4_04|듄: 파트2|SF/모험|166|4|2026-04-21T21:00|2026-04-21T23:46
