# movieId|title|genre|runningTime|theaterNo|startTime|endTime
20260427_1_01|인터스텔라|SF/드라마|169|1|2026-04-27T09:00|2026-04-27T11:49
20260427_1_02|인터스텔라|SF/드라마|169|1|2026-04-27T12:00|2026-04-27T14:49
20260427_1_03|인터스텔라|SF/드라마|169|1|2026-04-27T15:00|2026-04-27T17:49
20260427_1_04|인터스텔라|SF/드라마|169|1|2026-04-27T18:30|2026-04-27T21:19
20260427_1_05|인터스텔라|SF/드라마|169|1|2026-04-27T21:30|2026-04-28T00:19
20260427_2_01|어벤져스: 엔드게임|액션/SF|181|2|2026-04-27T09:30|2026-04-27T12:31
20260427_2_02|어벤져스: 엔드게임|액션/SF|181|2|2026-04-27T13:00|2026-04-27T16:01
20260427_2_03|어벤져스: 엔드게임|액션/SF|181|2|2026-04-27T16:30|2026-04-27T19:31
20260427_2_04|어벤져스: 엔드게임|액션/SF|181|2|2026-04-27T20:00|2026-04-27T23:01
20260427_3_01|파묘|공포/미스터리|134|3|2026-04-27T10:00|2026-04-27T12:14
20260427_3_02|범죄도시4|액션/범죄|109|3|2026-04-27T12:30|2026-04-27T14:19
20260427_3_03|파묘|공포/미스터리|134|3|2026-04-27T15:00|2026-04-27T17:14
20260427_3_04|범죄도시4|액션/범죄|109|3|2026-04-27T17:30|2026-04-27T19:19
20260427_3_05|파묘|공포/미스터리|134|3|2026-04-27T20:00|2026-04-27T22:14
20260427_4_01|듄: 파트2|SF/모험|166|4|2026-04-27T11:00|2026-04-27T13:46
20260427_4_02|듄: 파트2|SF/모험|166|4|2026-04-27T14:30|2026-04-27T17:16
20260427_4_03|서울의 봄|드라마/역사|141|4|2026-04-27T18:00|2026-04-27T20:21
20260427_4_04|듄: 파트2|SF/모험|166|4|2026-04-27T21:00|2026-04-27T23:46
