# movieId|title|genre|runningTime|theaterNo|startTime|endTime
20260425_1_01|인터스텔라|SF/드라마|169|1|2026-04-25T09:00|2026-04-25T11:49
20260425_1_02|인터스텔라|SF/드라마|169|1|2026-04-25T12:00|2026-04-25T14:49
20260425_1_03|인터스텔라|SF/드라마|169|1|2026-04-25T15:00|2026-04-25T17:49
20260425_1_04|인터스텔라|SF/드라마|169|1|2026-04-25T18:30|2026-04-25T21:19
20260425_1_05|인터스텔라|SF/드라마|169|1|2026-04-25T21:30|2026-04-26T00:19
20260425_2_01|어벤져스: 엔드게임|액션/SF|181|2|2026-04-25T09:30|2026-04-25T12:31
20260425_2_02|어벤져스: 엔드게임|액션/SF|181|2|2026-04-25T13:00|2026-04-25T16:01
20260425_2_03|어벤져스: 엔드게임|액션/SF|181|2|2026-04-25T16:30|2026-04-25T19:31
20260425_2_04|어벤져스: 엔드게임|액션/SF|181|2|2026-04-25T20:00|2026-04-25T23:01
20260425_3_01|파묘|공포/미스터리|134|3|2026-04-25T10:00|2026-04-25T12:14
20260425_3_02|범죄도시4|액션/범죄|109|3|2026-04-25T12:30|2026-04-25T14:19
20260425_3_03|파묘|공포/미스터리|134|3|2026-04-25T15:00|2026-04-25T17:14
20260425_3_04|범죄도시4|액션/범죄|109|3|2026-04-25T17:30|2026-04-25T19:19
20260425_3_05|파묘|공포/미스터리|134|3|2026-04-25T20:00|2026-04-25T22:14
20260425_4_01|듄: 파트2|SF/모험|166|4|2026-04-25T11:00|2026-04-25T13:46
20260425_4_02|듄: 파트2|SF/모험|166|4|2026-04-25T14:30|2026-04-25T17:16
20260425_4_03|서울의 봄|드라마/역사|141|4|2026-04-25T18:00|2026-04-25T20:21
20260425_4_04|듄: 파트2|SF/모험|166|4|2026-04-25T21:00|2026-04-25T23:46
